name,level,school,ritual,casting_time,range,duration,cast_with,hue1,hue2,bright1,bright2,attack_type,saving_throw,availableWhen,onCasting,onCast,onPlayerAttacks,onPlayerHitsTarget,onDispel,die_str,ammo_count,bonus_threshold,bonus_per_level,bonus_type,bonus_max,description,higher_levels,components_material,components_somatic,components_verbal,components_materials_description,classes_0,classes_1,classes_2,classes_3,classes_4,classes_5,classes_6,tags_0,tags_1,tags_2,tags_3,tags_4,tags_5,tags_6,tags_7
Goodberry,1,transmutation,FALSE,1 action,Touch,Instantaneous,,,,,,,,,,,,,,,1,,,,,"Up to **ten berries** appear in your hand and are infused with magic for the duration. A creature can use its action to eat one berry. Eating a berry restores 1 hit point, and the berry provides enough nourishment to sustain a creature for a day.

The berries lose their potency if they have not been consumed within **24 hours** of the casting of this spell.",,TRUE,TRUE,TRUE,a sprig of mistletoe,druid,ranger,,,,,,druid,ranger,level1,,,,,
Grasping Vine,4,conjuration,FALSE,1 bonus action,30 feet,"Concentration, up to 1 minute",,,,,,,Dexterity,,,,,,,,1,,,,,"You conjure a vine that sprouts from the ground in an unoccupied space of your choice that you can see within range. When you cast this spell, you can direct the vine to lash out at a creature within **30 feet** of it that you can see. That creature must succeed on a **Dexterity** saving throw or be pulled **20 feet** directly toward the vine.

Until the spell ends, you can direct the vine to lash out at the same creature or another one as a **bonus action** on each of your turns.",,FALSE,TRUE,TRUE,,ranger,druid,,,,,,ranger,druid,level4,,,,,
Grease,1,conjuration,FALSE,1 action,60 feet,1 minute,,,,,,,Dexterity,,,,,,,,1,,,,,"Slick grease covers the ground in a **10-foot** square centered on a point within range and turns it into difficult terrain for the duration.

When the grease appears, each creature standing in its area must succeed on a **Dexterity** saving throw or fall **prone**. A creature that enters the area or ends its turn there must also succeed on a **Dexterity** saving throw or fall **prone**.",,TRUE,TRUE,TRUE,a bit of pork rind or butter,wizard,,,,,,,wizard,level1,,,,,,
Greater Invisibility,4,illusion,FALSE,1 action,Touch,"Concentration, up to 1 minute",,,,,,,,,,,,,,,1,,,,,You or a creature you touch becomes **invisible** until the spell ends. Anything the target is wearing or carrying is **invisible** as long as it is on the target’s person.,,FALSE,TRUE,TRUE,,sorcerer,wizard,bard,,,,,sorcerer,wizard,bard,level4,,,,
Greater Restoration,5,abjuration,FALSE,1 action,Touch,Instantaneous,,,,,,,,,,,,,,,1,,,,,"You imbue a creature you touch with positive energy to undo a debilitating effect. You can reduce the target's Exhaustion level by one, or end one of the following Effects on the target.

* One effect that **charmed** or **petrified** the target

* One curse, including the target’s attunement to a cursed magic item

* Any reduction to one of the target’s ability scores

* One effect reducing the target’s hit point maximum",,TRUE,TRUE,TRUE,"diamond dust worth at least 100 gp, which the spell consumes",cleric,druid,bard,,,,,cleric,druid,bard,level5,,,,
Guardian of Faith,4,conjuration,FALSE,1 action,30 feet,8 hours,,,,,,,Dexterity,,,,,,,20(radiant),1,,,,,"A **Large** spectral guardian appears and hovers for the duration in an unoccupied space of your choice that you can see within range. The guardian occupies that space and is indistinct except for a gleaming sword and shield emblazoned with the symbol of your deity.

Any creature hostile to you that moves to a space within **10 feet** of the guardian for the first time on a turn must succeed on a **Dexterity** saving throw. The creature takes 20 **radiant damage** on a failed save, or half as much damage on a successful one. The guardian vanishes when it has dealt a total of **60 damage**.",,FALSE,FALSE,TRUE,,cleric,,,,,,,cleric,level4,,,,,,
Guards and Wards,6,abjuration,FALSE,10 minutes,Touch,24 hours,,,,,,,,,,,,,,,1,,,,,"You create a ward that protects up to 2,500 square feet of floor space (an area **50 feet** square, or one hundred **5-foot** squares or twenty-five **10-foot** squares). The warded area can be up to **20 feet** tall, and shaped as you desire. You can ward several stories of a stronghold by dividing the area among them, as long as you can walk into each contiguous area while you are casting the spell.

When you cast this spell, you can specify individuals who are unaffected by any or all of the effects that you choose. You can also specify a password that, when spoken aloud, makes the speaker immune to these effects.

*Guards and wards* creates the following effects within the warded area:

* Place *dancing lights* in four corridors. You can designate a simple program that the lights repeat as long as guards and wards lasts.

* Place *magic mouth* in two locations.

* Place *stinking cloud* in two locations. The vapors appear in the places you designate; They return within **10 minutes** if dispersed by wind while *guards and wards* lasts.

* Place a constant *gust of wind* in one corridor or room.

* Place a *suggestion* in one location. You select an area of up to **5 feet** square, and any creature that enters or passes through the area recieves the suggestion mentally.

The whole warded area radiates magic. A *dispel magic* cast on a specific effect, if successful, removes only that effect.

You can create a permanently guarded and warded structure by casting this spell there every day for one year.",,TRUE,TRUE,TRUE,"burning incense, a small measure of brimstone and oil, a knotled string, a small amount of umber hulk blood, and a small silver rod worth at least 10 gp",wizard,bard,,,,,,wizard,bard,level6,,,,,
Guidance,cantrip,divination,FALSE,1 action,Touch,"Concentration, up to 1 minute",,,,,,,,,,,,,,,1,,,,,"You touch one willing creature. Once before the spell ends, the target can roll a **d4** and add the number rolled to one ability check of its choice. It can roll the die before or after making the ability check. The spell then ends.",,FALSE,TRUE,TRUE,,cleric,druid,,,,,,cleric,druid,cantrip,,,,,
Guiding Bolt,1,evocation,FALSE,1 action,120 feet,1 round,,,,,,ranged,,,,,,,,4d6(radiant),1,1,1d6,damage,,"A flash of light streaks toward a creature of your choice within range. Make a ranged spell attack against the target. On a hit, the target takes {spell_DieStrRaw} **radiant damage**, and the next attack roll made against this target before the end of your next turn has **advantage**, thanks to the mystical dim light glittering on the target until then.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",FALSE,TRUE,TRUE,,cleric,,,,,,,cleric,level1,,,,,,
Gust,cantrip,transmutation,FALSE,1 action,30 feet,Instantaneous,,,,,,,Strength,,,,,,,,1,,,,,"* One **Medium** or smaller creature that you choose must succeed on a **Strength** saving throw or be pushed up to **5 feet** away from you.

* You create a small blast of air capable of moving one object that is neither held nor carried and that weighs no more than **5 pounds**. The object is pushed up to **10 feet** away from you. It isn’t pushed with enough force to cause damage.

* You create a harmless sensory affect using air, such as causing leaves to rustle, wind to slam shutters shut, or your clothing to ripple in a breeze.",,FALSE,TRUE,TRUE,,druid,sorcerer,wizard,,,,,druid,sorcerer,wizard,cantrip,,,,
Gust of Wind,2,evocation,FALSE,1 action,Self (60-foot line),"Concentration, up to 1 minute",,,,,,,Strength,,,,,,,,1,,,,,"A line of strong wind **60 feet** long and **10 feet** wide blasts from you in a direction you choose for the spell's duration. Each creature that starts its turn in the line must succeed on a **Strength** saving throw or be pushed **15 feet** away from you in a direction following the line.

Any creature in the line must spend 2 feet of movement for every 1 foot it moves when moving closer to you.

The gust disperses gas or vapor, and it extinguishes candles, torches, and similar unprotected flames in the area. It causes protected fiames, such as those of lanterns, to dance wildly and has a 50 percent chance to extinguish them.

As a **bonus action** on each of your turns before the spell ends, you can change the direction in which the line blasts from you.",,TRUE,TRUE,TRUE,a legume seed,sorcerer,wizard,druid,,,,,sorcerer,wizard,druid,level2,,,,
Hail of Thorns,1,conjuration,FALSE,1 bonus action,Self,"Concentration, up to 1 minute",,,,,,buff,Dexterity,,,,,,,1d10(piercing),1,1,1d10,damage,6,"The next time you hit a creature with a ranged weapon attack before this spell ends, this spell creates a rain of thorns that sprouts from your ranged weapon or ammunition. In addition to the normal effects of the attack, the target of the attack and each creature within **5 feet** of it must make a **Dexterity** saving throw. A creature takes {spell_DieStrRaw} **piercing damage** on a failed save, or half as much damage on a successful one.","If you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st (to a maximum of 6d10).",FALSE,FALSE,TRUE,,ranger,,,,,,,ranger,level1,,,,,,
Hallow,5,evocation,FALSE,24 hours,Touch,Until dispelled,,,,,,,Charisma,,,,,,,,1,,,,,"You touch a point and infuse an area around it with holy (or unholy) power. The area can have a radius up to **60 feet**, and the spell fails if the radius includes an area already under the effect a *hallow* spell. The affected area is subject to the following effects.

First, celestials, elementals, fey, fiends, and undead can’t enter the area, nor can such creatures charm, frighten, or possess creatures within it. Any creature **charmed**, **frightened**, or possessed by such a creature is no longer **charmed**, **frightened**, or possessed upon entering the area. You can exclude one or more of those types of creatures from this effect.

Second, you can bind an extra effect to the area. Choose the effect from the following list, or choose an effect offered by the DM. Some of these effects apply to creatures in the area; you can designate whether the effect applies to all creatures, creatures that follow a specific deity or leader, or creatures of a specific sort, such as orcs or trolls. When a creature that would be affected enters the spell’s area for the first time on a turn or starts its turn there, it can make a **Charisma** saving throw. On a success, the creature ignores the extra effect until it leaves the area.",,TRUE,TRUE,TRUE,"herbs, oils, and incense worth at least 1,000 gp, which the spell consumes",cleric,,,,,,,cleric,level5,,,,,,
Hallucinatory Terrain,4,illusion,FALSE,10 minutes,300 feet,24 hours,,,,,,,,,,,,,,,1,,,,,"You make natural terrain in a **150-foot** cube in range look, sound, and smell like some other sort of natural terrain. Thus, open fields or a road can be made to resemble a swamp, hill, crevasse, or some other difficult or impassable terrain. A pond can be made to seem like a grassy meadow, a precipice like a gentle slope, or a rock-strewn gully like a wide and smooth road. Manufactured structures, equipment, and creatures within the area aren’t changed in appearance.

The tactile characteristics of the terrain are unchanged, so creatures entering the area are likely to see through the illusion. If the difference isn’t obvious by touch, a creature carefully examining the illusion can attempt an Intelligence **(Investigation)** check against your spell save DC to disbelieve it. A creature who discerns the illusion for what it is, sees it as a vague image superimposed on the terrain.",,TRUE,TRUE,TRUE,"a stone, a twig, and a bit of green plant",bard,druid,warlock,wizard,,,,bard,druid,warlock,wizard,level4,,,
Harm,6,necromancy,FALSE,1 action,60 feet,Instantaneous,,,,,,,Constitution,,,,,,,14d6(necrotic),1,,,,,"You unleash a virulent disease on a creature that you can see within range. The target must make a **Constitution** saving throw. On a failed save, it takes **14d6 necrotic damage**, or half as much damage on a successful save. The damage can’t reduce the target’s hit points below 1. If the target fails the saving throw, its hit point maximum is reduced for 1 hour by an amount equal to the **necrotic damage** it took. Any effect that removes a disease allows a creature’s hit point maximum to return to normal before that time passes.",,FALSE,TRUE,TRUE,,cleric,,,,,,,cleric,level6,,,,,,
Haste,3,transmutation,FALSE,1 action,30 feet,"Concentration, up to 1 minute",,,,,,,,,,,,,,,1,,,,,"Choose a willing creature that you can see within range. Until the spell ends, the target’s speed is doubled, it gains a **+2 bonus** to **AC**, it has **advantage** on **Dexterity** saving throws, and it gains an additional action on each of its turns. That action can be used only to take the Attack (one weapon attack only), Dash, Disengage, Hide, or Use an Object action.

When the spell ends, the target can’t move or take actions until after its next turn, as a wave of lethargy sweeps over it.",,TRUE,TRUE,TRUE,a shaving of licorice root,sorcerer,wizard,,,,,,sorcerer,wizard,level3,,,,,
Heal,6,evocation,FALSE,1 action,60 feet,Instantaneous,,,,,,,,,,,,,,,70,6,10,healing,,"Choose a creature that you can see within range. A surge of positive energy washes through the creature, causing it to regain {spell_AmmoCount} **hit points**. This spell also ends **blindness**, **deafness**, and **any diseases** affecting the target. This spell has no effect on constructs or undead.","When you cast this spell using a spell slot of 7th level or higher, the amount of healing increases by 10 for each slot level above 6th.",FALSE,TRUE,TRUE,,cleric,druid,,,,,,cleric,druid,level6,,,,,
Healing Word,1,evocation,FALSE,1 bonus action,60 feet,Instantaneous,,,,,,,,,,,,,,1d4+SAM(healing),1,1,1d4,healing,,A creature of your choice that you can see within range regains {spell_DieStrRaw} hit points. This spell has no effect on undead or constructs.,"When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d4 for each slot level above 1st.",FALSE,FALSE,TRUE,,bard,cleric,druid,,,,,bard,cleric,druid,level1,,,,
Heat Metal,2,transmutation,FALSE,1 action,60 feet,"Concentration, up to 1 minute",,,,,,,Constitution,,,,,,,2d8(fire),1,2,1d8,damage,,"Choose a manufactured metal object, such as a metal weapon or a suit of heavy or medium metal armor, that you can see within range. You cause the object to glow red-hot. Any creature in physical contact with the object takes {spell_DieStrRaw} **fire damage** when you cast the spell. Until the spell ends, you can use a **bonus action** on each of your subsequent turns to cause this damage again.

If a creature is holding or wearing the object and takes the damage from it, the creature must succeed on a **Constitution** saving throw or drop the object if it can. If it doesn’t drop the object, it has **disadvantage** on attack rolls and ability checks until the start of your next turn.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd.",TRUE,TRUE,TRUE,a piece of iron and a flame,druid,bard,,,,,,druid,bard,level2,,,,,
Hellish Rebuke,1,evocation,FALSE,"1 reaction, which you take in response to being damaged by a creature within 60 feet of you that you can see.",60 feet,Instantaneous,,,,,,,Dexterity,,,,,,,2d10(fire),1,1,1d10,damage,,"You point your finger, and the creature that damaged you is momentarily surrounded by hellish flames. The creature must make a **Dexterity** saving throw. It takes {spell_DieStrRaw} **fire damage** on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st.",FALSE,TRUE,TRUE,,warlock,,,,,,,warlock,level1,,,,,,
Heroes' Feast,6,conjuration,FALSE,10 minutes,30 feet,Instantaneous,,,,,,,,,,,,,,,1,,,,,"You bring forth a great feast, including magnificent food and drink. The feast takes 1 hour to consume and disappears at the end of that time, and the beneficial effects don’t set in until this hour is over. Up to twelve other creatures can partake of the feast.

A creature that partakes of the feast gains several benefits. The creature is cured of all diseases and poison, becomes immune to poison and being **frightened**, and makes all **Wisdom** saving throws with **advantage**. Its hit point maximum also increases by 2d10, and it gains the same number of hit points. These benefits last for **24 hours**",,TRUE,TRUE,TRUE,"a gem-encrusted bowl worth at least 1,000 gp, which the spell consumes",cleric,druid,,,,,,cleric,druid,level6,,,,,
Heroism,1,enchantment,FALSE,1 action,Touch,"Concentration, up to 1 minute",,,,,,,,,,,,,,,1,,,,,"A willing creature you touch is imbued with bravery. Until the spell ends, the creature is immune to being **frightened** and gains **temporary hit points** equal to your spellcasting ability modifier («{SpellcastingAbilityModifier}») at the start of each of its turns. When the spell ends, the target loses any remaining **temporary hit points** from this spell.",,FALSE,TRUE,TRUE,,bard,paladin,,,,,,bard,paladin,level1,,,,,
Hex,1,enchantment,FALSE,1 bonus action,90 feet,"Concentration, up to 1 hour",,,,,,,,,,,,,,+1d6(necrotic),1,*,,,,"You place a curse on a creature that you can see within range. Until the spell ends, you deal an extra **1d6 necrotic damage** to the target whenever you hit it with an attack. Also choose one ability when you cast the spell. The target has **disadvantage** on ability checks made with the chosen ability.

If the target drops to **0 hit points** before this spell ends, you can use a **bonus action** on a subsequent turn of yours to curse a new creature.

A *remove curse* cast on the target ends this spell early.","When you cast this spell using a spell slot of 3rd or 4th level, you can maintain your concentration on the spell for up to 8 hours. When you use a spell slot of 5th level or higher, you can maintain your concentration on the spell for up to 24 hours.",TRUE,TRUE,TRUE,the petrified eye of a newt,warlock,,,,,,,warlock,level1,,,,,,
Hideous Laughter,1,enchantment,FALSE,1 action,30 feet,"Concentration, up to 1 minute",,,,,,,Wisdom,,,,,,,,1,,,,,"A creature of your choice that you can see within range perceives everything as hilariously funny and falls into fits of laughter if this spell affects it. The target must succeed on a **Wisdom** saving throw or fall **prone**, becoming **incapacitated** and unable to stand up for the duration. A creature with an Intelligence score of 4 or less isn’t affected.
At the end of each of its turns, and each time it takes damage, the target can make another **Wisdom** saving throw. The target has **advantage** on the saving throw if it’s triggered by damage. On a success, the spell ends.",,TRUE,TRUE,TRUE,tiny tarts and a feather that is waved in the air,bard,wizard,,,,,,bard,wizard,level1,,,,,
Hold Monster,5,enchantment,FALSE,1 action,90 feet,"Concentration, up to 1 minute",,,,,,,Wisdom,,,,,,,,1,5,1,target,,"Choose a creature that you can see within range. The target must succeed on a **Wisdom** saving throw or be **paralyzed** for the duration. This spell has no effect on undead. At the end of each of its turns, the target can make another **Wisdom** saving throw. On a success, the spell ends on the target.

When you cast this spell using a spell slot of 6th level or higher, you can target one additional creature for each slot level above 5th (so {spell_AmmoCount_word} {Plural(spell_AmmoCount, ""creature"", ""creatures"")} total when cast from spell slot {spell_SpellSlotLevel}). The creatures must be within 30 feet of each other when you target them.","When you cast this spell using a spell slot of 6th level or higher, you can target one additional creature for each slot level above 5th. The creatures must be within 30 feet of each other when you target them.",TRUE,TRUE,TRUE,"a small, straight piece of iron",bard,sorcerer,warlock,wizard,,,,bard,sorcerer,warlock,wizard,level5,,,
Hold Person,2,divination,TRUE,1 action,60 feet,"Concentration, up to 1 minute",,,,,,,Wisdom,,,,,,,,1,2,1,target,,"Choose a humanoid that you can see within range. The target must succeed on a **Wisdom** saving throw or be **paralyzed** for the duration. At the end of each of its turns, the target can make another **Wisdom** saving throw. On a success, the spell ends on the target.

When you cast this spell using a spell slot of 3rd level or higher, you can target one additional humanoid for each slot level above 2nd (so {spell_AmmoCount_word} {Plural(spell_AmmoCount, ""humanoid"", ""humanoids"")} total when cast from spell slot {spell_SpellSlotLevel}). The humanoids must be within 30 feet of each other when you target them.","When you cast this spell using a spell slot of 3rd level or higher, you can target one additional humanoid for each slot level above 2nd. The humanoids must be within 30 feet of each other when you target them.",TRUE,TRUE,TRUE,"a small, straight piece of iron",bard,cleric,druid,sorcerer,warlock,wizard,,bard,cleric,druid,sorcerer,warlock,wizard,level2,
Holy Aura,8,abjuration,FALSE,1 action,Self,"Concentration, up to 1 minute",,,,,,,,,,,,,,,1,,,,,"Divine light washes out from you and coalesces in a soft radiance in a **30-foot** radius around you. Creatures of your choice in that radius when you cast this spell shed dim light in a **5-foot** radius and have **advantage** on all saving throws, and other creatures have **disadvantage** on attack rolls against them until the spell ends. In addition, when a fiend or an undead hits an affected creature with a melee attack, the aura flashes with brilliant light. The attacker must succeed on a **Constitution** saving throw or be **blinded** until the spell ends.",,TRUE,TRUE,TRUE,"a tiny reliquary worth at least 1,000 gp containing a sacred relic, such as a scrap of cloth from a saint's robe or a piece of parchment from a religious text",cleric,,,,,,,cleric,level8,,,,,,
Hunter's Mark,1,divination,FALSE,1 bonus action,90 feet,"Concentration, up to 1 hour",,,,,,,,,,,,,,+1d6,1,*,,,,"You choose a creature you can see within range and mystically mark it as your quarry. Until the spell ends, you deal an extra 1d6 damage to the target whenever you hit it with a weapon attack, and you have **advantage** on any Wisdom **(Perception)** or Wisdom **(Survival)** check you make to find it. If the target drops to **0 hit points** before this spell ends, you can use a **bonus action** on a subsequent turn of yours to mark a new creature.","When you cast this spell using a spell slot of 3rd or 4th level, you can maintain your concentration on the spell for up to 8 hours. When you use a spell slot of 5th level or higher, you can maintain your concentration on the spell for up to 24 hours.",FALSE,FALSE,TRUE,,ranger,,,,,,,ranger,level1,,,,,,
Hypnotic Pattern,3,illusion,FALSE,1 action,120 feet,"Concentration, up to 1 minute",,,,,,,Wisdom,,,,,,,,1,,,,,"You create a twisting pattern of colors that weaves through the air inside a **30-foot** cube within range. The pattern appears for a moment and vanishes. Each creature in the area who sees the pattern must make a **Wisdom** saving throw. On a failed save, the creature becomes **charmed** for the duration. While **charmed** by this spell, the creature is **incapacitated** and has a speed of 0.

The spell ends for an affected creature if it takes any damage or if someone else uses an action to shake the creature out of its stupor.",,TRUE,TRUE,FALSE,a glowing stick of incense or a crystal vial filled with phosphorescent material,bard,sorcerer,warlock,wizard,,,,bard,sorcerer,warlock,wizard,level3,,,
Ice Knife,1,conjuration,FALSE,1 action,60 feet,Instantaneous,,,,,,ranged,Dexterity,,,,,,,1d10(piercing),1,1,1d6,damage,,"You create a shard of ice and fling it at one creature within range. Make a ranged spell attack against the target. On a hit, the target takes **1d10 piercing damage**. Hit or miss, the shard then explodes. The target and each creature within **5 feet** of the point where the ice exploded must succeed on a **Dexterity** saving throw or take **2d6 cold damage**.

When you cast this spell using a spell slot of 2nd level or higher, the **cold damage** increases by **1d6** for each slot level above 1st.","When you cast this spell using a spell slot of 2nd level or higher, the cold damage increases by 1d6 for each slot level above 1st.",TRUE,TRUE,FALSE,a drop of water or piece of ice,druid,sorcerer,wizard,,,,,druid,sorcerer,wizard,level1,,,,
Ice Storm,4,evocation,FALSE,1 action,300 feet,Instantaneous,,,,,,,Dexterity,,,,,,,"2d8(bludgeoning),4d6(cold)",1,4,1d8,damage,,"A hail of rock-hard ice pounds to the ground in a **20-foot** radius, **40-foot** high cylinder centered on a point within range. Each creature in the cylinder must make a **Dexterity** saving throw. A creature takes **2d8 bludgeoning damage** and **4d6 cold damage** on a failed save, or half as much damage on a successful one.

Hailstones turn the storm’s area of effect into difficult terrain until the end of your next turn.

When you cast this spell using a spell slot of 5th level or higher, the **bludgeoning damage** increases by **1d8** for each slot level above 4th.","When you cast this spell using a spell slot of 5th level or higher, the bludgeoning damage increases by 1d8 for each slot level above 4th.",TRUE,TRUE,TRUE,a pinch of dust and a few drops of water,druid,sorcerer,wizard,,,,,druid,sorcerer,wizard,level4,,,,
Identify,1,divination,TRUE,1 minute,Touch,Instantaneous,,,,,,,,,,,,,,,1,,,,,"You choose one object that you must touch throughout the casting of the spell. If it is a magic item or some other magic-imbued object, you learn its properties and how to use them, whether it requires attunement to use, and how many charges it has, if any. You learn whether any spells are affecting the item and what they are. If the item was created by a spell, you learn which spell created it.

If you instead touch a creature throughout the casting, you learn what spells, if any, are currently affecting it.",,TRUE,TRUE,TRUE,a pearl worth at least 100 gp and an owl feather,bard,wizard,,,,,,bard,wizard,level1,,,,,
Illusory Script,1,illusion,TRUE,1 minute,Touch,10 days,,,,,,,,,,,,,,,1,,,,,"You write on parchment, paper, or some other suitable writing material and imbue it with a potent illusion that lasts for the duration.

To you and any creatures you designate when you cast the spell, the writing appears normal, written in your hand, and conveys whatever meaning you intended when you wrote the text. To all others, the writing appears as if it were written in an unknown or magical script that is unintelligible. Alternatively, you can cause the writing to appear to be an entirely different message, written in a different hand and language, though the language must be one you know.

Should the spell be dispelled, the original script and the illusion both disappear.

A creature with truesight can read the hidden message.",,TRUE,TRUE,FALSE,"a lead-based ink worth at least 10gp, which this spell consumes",bard,warlock,wizard,,,,,bard,warlock,wizard,level1,,,,
Immolation,5,evocation,FALSE,1 action,90 feet,"Concentration, up to 1 minute",,,,,,,Dexterity,,,,,,,7d6(fire),1,,,,,"Flames wreathe one creature you can see within range. The target must make a **Dexterity** saving throw. It takes **7d6 fire damage** on a failed save, or half as much damage on a successful one. On a failed save, the target also burns for the spell’s duration. The burning target sheds bright light in a **30-foot** radius and dim light for an additional **30 feet**. At the end of each of its turns, the target repeats the saving throw. It takes **3d6 fire damage** on a failed save, and the spell ends on a successful one. These magical flames can’t be extinguished through nonmagical means.

If damage from this spell reduces a target to **0 hit points**, the target is turned to ash.",,FALSE,FALSE,TRUE,,sorcerer,wizard,,,,,,sorcerer,wizard,level5,,,,,
Imprisonment,9,abjuration,FALSE,1 minute,30 feet,Until dispelled,,,,,,,Wisdom,,,,,,,,1,,,,,"You create a magical restraint to hold a creature that you can see within range. The target must succeed on a **Wisdom** saving throw or be bound by the spell; if it succeeds, it is immune to this spell if you cast it again. While affected by this spell, the creature doesn't need to breathe, eat, or drink, and it doesn't age. Divination spells can't locate or perceive the target.

When you cast the spell, you choose one of the following forms of imprisonment.

The special component for this version of the spell is a small mithral orb.

The special component for this version of the spell is a fine chain of precious metal.

The special component for this version of the spell is a miniature representation of the prison made from jade.

The special component for this version of the spell is a large, transparent gemstone, such as a corundum, diamond, or ruby.

A *dispel magic* spell can end the spell only if it is cast as a 9th-level spell, targeting either the prison or the special component used to create it.

You can use a particular special component to create only one prison at a time. If you cast the spell again using the same component, the target of the first casting is immediately freed from its binding.",,TRUE,TRUE,TRUE,"a vellum depiction or a carved statuette in the likeness of the target, and a special component that varies according to the version of the spell you choose, worth at least 500 gp per Hit Die of the target",warlock,wizard,,,,,,warlock,wizard,level9,,,,,
Incendiary Cloud,8,conjuration,FALSE,1 action,150 feet,"Concentration, up to 1 minute",,,,,,,Dexterity,,,,,,,10d8(fire),1,,,,,"A swirling cloud of smoke shot through with white-hot embers appears in a **20-foot** range. The cloud spreads around corners and is heavily obscured. It lasts for the duration or until a wind of moderate or greater speed (at least **10 miles** per hour) disperses it.

When the cloud appears, each creature in it must make a **Dexterity** saving throw. A creature takes **10d8 fire damage** on a failed save, or half as much damage on a successful one. A creature must also make this saving throw when it enters the spell's area for the first time on a turn or ends its turn there.

The cloud moves **10 feet** directly away from you in a direction that you choose at the start of each of your turns.",,FALSE,TRUE,TRUE,,sorcerer,wizard,,,,,,sorcerer,wizard,level8,,,,,
Inflict Wounds,1,necromancy,FALSE,1 action,Touch,Instantaneous,,,,,,meiee,,,,,,,,3d10(necrotic),1,1,1d10,damage,,"Make a melee spell attack against a creature you can reach. On a hit, the target takes {spell_DieStrRaw} **necrotic damage**.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st.",FALSE,TRUE,TRUE,,cleric,,,,,,,cleric,level1,,,,,,
Insect Plague,5,conjuration,FALSE,1 action,300 feet,"Concentration, up to 10 minutes",,,,,,,Constitution,,,,,,,4d10(piercing),1,5,1d10,damage,,"Swarming, biting locusts fill a **20-foot** radius sphere centered on a point you choose within range, The sphere spreads around corners. The sphere remains for the duration, and its area is lightly obscured. The sphere's area is difficult terrain.

When the area appears, each creature in it must make a **Constitution** saving throw. A creature takes {spell_DieStrRaw} **piercing damage** on a failed save, or half as much damage on a successful one. A creature must also make this saving throw when it enters the spell's area for the first time on a turn or ends its turn there.","When you cast this spell using a spell slot of 6th levei or higher, the damage increases by 1d10 for each slot level above 5th.",TRUE,TRUE,TRUE,"a few grains of sugar, some kernels of grain, and a smear of fat",cleric,druid,sorcerer,,,,,cleric,druid,sorcerer,level5,,,,
Investiture of Flame,6,transmutation,FALSE,1 action,Self,"Concentration, up to 10 minutes",,,,,,,Dexterity,,,,,,,1d10(fire),1,,,,,"* You are immune to **fire damage** and have resistance to **cold damage**.

* Any creature that moves within **5 feet** of you for the first time on a turn or ends its turn there takes **1d10 fire damage**.

* You can use your action to create a line of fire **15 feet** long and **5 feet** wide extending from you in a direction you choose. Each creature in the line must make a **Dexterity** saving throw. A creature takes **4d8 fire damage** on a failed save, or half as much damage on a successful one.",,FALSE,TRUE,TRUE,,druid,sorcerer,warlock,wizard,,,,druid,sorcerer,warlock,wizard,level6,,,
Investiture of Ice,6,transmutation,FALSE,1 action,Self,"Concentration, up to 10 minutes",,,,,,,Constitution,,,,,,,4d6(cold),1,,,,,"* You are immune to **cold damage** and have resistance to **fire damage**.

* You can move across difficult terrain created by ice or snow without spending extra movement.

* The ground in a **10-foot** radius around you is icy and is difficult terrain for creatures other than you. The radius moves with you.

* You can use your action to create a **15-foot** cone of freezing wind extending from your outstretched hand in a direction you choose. Each creature in the cone must make a **Constitution** saving throw. A creature takes **4d6 cold damage** on a failed save, or half as much damage on a successful one. A creature that fails its save against this effect has its speed halved until the start of your next turn.",,FALSE,TRUE,TRUE,,druid,sorcerer,warlock,wizard,,,,druid,sorcerer,warlock,wizard,level6,,,
Investiture of Stone,6,transmutation,FALSE,1 action,Self,"Concentration, up to 10 minutes",,,,,,,Dexterity,,,,,,,,1,,,,,"* You have resistance to bludgeoning, piercing, and **slashing damage** from nonmagical weapons.

* You can use your action to create a small earthquake on the ground in a **15-foot** radius centered on you. Other creatures on that ground must succeed on a **Dexterity** saving throw or be knocked **prone**.

* You can move across difficult terrain made of earth or stone without spending extra movement. You can move through solid earth or stone as if it was air and without destabilizing it, but you can’t end your movement there. If you do so, you are ejected to the nearest unoccupied space, this spell ends, and you are **stunned** until the end of your next turn",,FALSE,TRUE,TRUE,,druid,sorcerer,warlock,wizard,,,,druid,sorcerer,warlock,wizard,level6,,,
